Added to the Index			Dropped from the Index													
Company	Ticker	Old Name & Ticker	Company	Ticker	Old Name & Ticker	Date	Year									
FMC Corporation	FMC		Centex Corp.	CTX		August 18, 2009	2009									
Red Hat Inc.	RHT		CIT Group Inc.	CIT		July 24, 2009	2009									
Western Digital	WDC		Embarq Corp.	EQ		June 30, 2009	2009									
Quanta Services Inc.	PWR		Ingersoll-Rand PLC	IR		June 30, 2009	2009									
MetroPCS	PCS		-	-		June 29, 2009	2009									
-	-		TE Connectivity Ltd.	TEL	Tyco Electronics (TEL)	June 25, 2009	2009									
DeVry, Inc.	DV		-			June 8, 2009	2009									
FMC Technologies Inc.	FTI		Covidien	COV		June 4, 2009	2009									
-	-		General Motors	GM		June 2, 2009	2009									
Denbury Resources Inc.	DNR		Rohm and Haas Co.	ROH		April 1, 2009	2009									
Time Warner Cable Inc.	TWC		DDR Corp.	DDR		March 27, 2009	2009									
O'Reilly Automotive	ORLY		Noble Corp.	NE		March 26, 2009	2009									
Eversource Energy	ES	Northeast Utilities (NU)	Tyco Int'l	TYC		March 16, 2009	2009									
Ventas Inc.	VTR		Jones Apparel Group Inc.	JNY		March 3, 2009	2009									
Hormel Foods Corp.	HRL		American Capital Ltd.	ACAS		March 3, 2009	2009									
Diamond Offshore Drilling	DO		Weatherford Int'l Ltd.	WFT		February 25, 2009	2009									
Health Care REIT, Inc.	HCN		Sovereign Bancorp.	SOV		January 29, 2009	2009									
Iron Mountain Inc.	IRM		UST Inc.	UST		January 5, 2009	2009									
SCANA Corp.	SCG		Merrill Lynch	MER		December 31, 2008	2008									
FLIR Systems	FLIR		National City Corp.	NCC		December 31, 2008	2008									
Owens-Illinois Inc.	OI		Wachovia Corp.	WB		December 31, 2008	2008									
McAfee Inc.	MFE		Barr Pharmaceuticals Inc.	BRL		December 22, 2008	2008									
EQT Corporation	EQT		Transocean	RIG		December 18, 2008	2008									
Republic Services Inc.	RSG		Allied Waste Industries Inc.	AW		December 4, 2008	2008									
Dun & Bradstreet	DNB		Liz Claiborne Inc.	LIZ		December 1, 2008	2008									
Life Technologies	LIFE		Applied Biosystems Inc.	ABI		November 21, 2008	2008									
Stericycle Inc.	SRCL		Anheuser-Busch	BUD		November 18, 2008	2008									
Cephalon Inc.	CEPH		-	-		November 14, 2008	2008									
Dentsply Int'l	XRAY		Hercules Inc.	HPC		November 13, 2008	2008									
Wynn Resorts Ltd.	WYNN		Ashland Inc.	ASH		November 13, 2008	2008									
-	-		General Growth Properties	GGP		November 12, 2008	2008									
People's United Bank	PBCT		-	-		November 12, 2008	2008									
-	-		Unisys Corp.	UIS		November 10, 2008	2008									
J.M. Smucker Co.	SJM		Terex Corp.	TEX		November 5, 2008	2008									
Wisconsin Energy Corp.	WEC		MGIC Investment	MTG		October 30, 2008	2008									
NASDAQ OMX Group	NDAQ		Dillard's Inc.	DDS		October 21, 2008	2008									
Dr Pepper Snapple Group	DPS		Wrigley Co.	WWY		October 3, 2008	2008									
Flowserve Corporation	FLS		-	-		October 1, 2008	2008									
Amphenol Corp.	APH		Wendy's International Inc.	WEN		September 29, 2008	2008									
-	-		Washington Mutual Inc.	WAMUQ		September 29, 2008	2008									
Pioneer Natural Resources	PXD		-	-		September 23, 2008	2008									
-	-		Safeco Corp.	SAF		September 22, 2008	2008									
Harris Corp.	HRS		-	-		September 19, 2008	2008									
-	-		Lehman Brothers Holdings	LEH		September 16, 2008	2008									
Salesforce.com	CRM		-	-		September 12, 2008	2008									
Fastenal Co.	FAST		-	-		September 12, 2008	2008									
-	-		Freddie Mac (FHLMC)	FRE		September 10, 2008	2008									
-	-		Fannie Mae (FNMA)	FNM		September 10, 2008	2008									
CF Industries Holdings Inc.	CF		Electronics Data Systems	EDS		August 26, 2008	2008									
Invesco Ltd.	IVZ		IAC/InterActiveCorp	IACI		August 20, 2008	2008									
DaVita Inc.	DVA		Clear Channel Comm's Inc.	CCU		July 30, 2008	2008									
Mastercard Inc.	MA		ACE Limited	ACE		July 17, 2008	2008									
Scripps Networks Int.	SNI		E.W. Scripps Co.	SSP		June 30, 2008	2008									
AK Steel Holding Corp.	AKS		Countrywide Financial Corp.	CFC		June 30, 2008	2008									
Massey Energy Co.	MEE		OfficeMax Inc.	OMX		June 20, 2008	2008									
Cabot Oil & Gas	COG		Brunswick Corp.	BC		June 20, 2008	2008									
Lorillard Inc.	LO		Ambac Financial Group Inc.	ABK		June 10, 2008	2008									
Southwestern Energy	SWN		Trane Inc.	TT		June 6, 2008	2008									
Intuitive Surgical Inc.	ISRG		Bear Stearns Inc.	BSC		June 2, 2008	2008									
HCP Inc.	HCP		Commerce Bancorp	CBH		March 28, 2008	2008									
Philip Morris Int'l	PM		Circuit City Stores Inc.	CC		March 28, 2008	2008									
Cameron Int'l Corp.	CAM		Harrah's Entertainment	HET		January 28, 2008	2008									
Total System Services	TSS		Synovus Financial Corp.	SNV		December 31, 2007	2007									
Graham Holdings	GHC	Washington Post Co. (WPO)	Temple-Inland Inc.	TIN		December 28, 2007	2007									
Range Resources Corp.	RRC		Tribune Co.	TRB		December 20, 2007	2007									
GameStop Corp.	GME		Dow Jones & Co. Inc.	DJ		December 13, 2007	2007									
Transocean	RIG		Transocean	RIG		November 26, 2007	2007									
American Tower Corp.	AMT		Alltel Wireless	AT		November 16, 2007	2007									
The Manitowoc Company	MTW		Tektronix Inc.	TEK		November 15, 2007	2007									
Pepco Holdings Inc.	POM		Manor Care Inc.	HCR		November 8, 2007	2007									
Titanium Metals	TIE		Bausch & Lomb Inc.	BOL		October 26, 2007	2007									
Jacobs Engineering Group	JEC		Avaya Inc.	AV		October 25, 2007	2007									
NYSE Euronext	NYX		Hilton Hotels	HLT		October 24, 2007	2007									
Expeditors Int'l	EXPD		TXU Corp.	TXU		October 9, 2007	2007									
Noble Energy Inc.	NBL		Archstone-Smith Trust	ASN		October 5, 2007	2007									
Expedia Inc.	EXPE		Solectron Corp.	SLR		October 1, 2007	2007									
Teradata Corp.	TDC		NCR Corp.	NCR		September 28, 2007	2007									
Tesoro Petroleum Co.	TSO		Maxim Integrated	MXIM		September 26, 2007	2007									
Intercontinental Exchange	ICE		-	-		September 25, 2007	2007									
-	-		First Data Corp.	FDC		September 24, 2007	2007									
Microchip Technology	MCHP		Compass Bancshares	CBSS		September 7, 2007	2007									
Leucadia National Corp.	LUK		Keyspan Energy	KSE		August 24, 2007	2007									
Akamai Technologies Inc.	AKAM		Biomet Inc.	BMET		July 11, 2007	2007									
American Capital Ltd.	ACAS		Dollar General	DG		July 6, 2007	2007									
TE Connectivity Ltd.	TEL	Tyco Electronics (TEL)	PMC-Sierra	PMCS		June 29, 2007	2007									
Covidien	COV		Sanmina Corp.	SANM		June 29, 2007	2007									
General Growth Properties	GGP		Mellon Financial	MEL		June 29, 2007	2007									
BNY Mellon	BK	Bank of New York (BK)	BNY Mellon	BK	Bank of New York (BK)	June 29, 2007	2007									
Discover Financial Services	DFS		ADC Telecomm. Inc.	ADCT		June 29, 2007	2007									
Precision Castparts	PCP		MedImmune Inc.	MEDI		May 31, 2007	2007									
MEMC Electronic Materials	WFR		Kinder Morgan	KMI		May 30, 2007	2007									
Assurant Inc.	AIZ		Realogy Corp.	RLGY	Realogy Corp. (H)	April 9, 2007	2007									
Mondelez Int'l	MDLZ	Kraft Foods Inc (KFT)	Sabre Holding Corp.	TSG		March 30, 2007	2007									
Abercrombie & Fitch	ANF		Univision Communications	UVN		March 28, 2007	2007									
DDR Corp.	DDR		Caremark Rx Inc.	CMX		March 22, 2007	2007									
Host Hotels & Resorts	HST		Phelps Dodge	PD		March 19, 2007	2007									
C. H. Robinson Worldwide	CHRW		Health Management Assoc.	HMA		March 1, 2007	2007									
Integrys Energy Group Inc.	TEG		Peoples Energy	PGL		February 21, 2007	2007									
Hudson City Bancorp	HCBK		American Power Conversion	APCC		February 14, 2007	2007									
Varian Medical Systems	VAR		Equity Office Properties	EOP		February 9, 2007	2007									
Polo Ralph Lauren Corp.	RL		Comverse Technology	CMVT		January 31, 2007	2007									
AvalonBay Communities	AVB		Symbol Technologies	SBL		January 9, 2007	2007									
Ensco plc	ESV		BellSouth Corp.	BLS		January 3, 2007	2007									
Spectra Energy Corp.	SE		Parametric Technology	PMTC		December 29, 2006	2006									
