Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
CVH	Coventry Health Care			X	X	X	X	X	X	X	X						
CVS	CVS Caremark Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CVX	Chevron Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
D	Dominion Resources	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DAL	Delta Air Lines	X	X									X	X	X	X	X	X
DCN	Dana Corp.										X	X	X	X	X	X	X
DD	DuPont	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DDR	DDR Corp.							X	X								
DDS	Dillard's Inc.								X	X	X	X	X	X	X	X	X
DE	Deere & Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DELL	Dell, Inc.			X	X	X	X	X	X	X	X	X	X	X	X	X	X
DF	Dean Foods			X	X	X	X	X	X	X							
DFS	Discover Financial Services	X	X	X	X	X	X	X	X								
DG	Dollar General	X	X	X						X	X	X	X	X	X	X	X
DGX	Quest Diagnostics	X	X	X	X	X	X	X	X	X	X	X	X	X			
DHI	D. R. Horton	X	X	X	X	X	X	X	X	X	X						
DHR	Danaher Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DIS	The Walt Disney Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DISCA	Discovery Com Class A	X	X	X	X	X											
DISCK	Discovery Com Class C	X															
DJ	Dow Jones & Co. Inc.									X	X	X	X	X	X	X	X
DLPH	Delphi Automotive	X	X	X													
DLTR	Dollar Tree	X	X	X	X												
DLX	Deluxe Corp.												X	X	X	X	X
DNB	Dun & Bradstreet	X	X	X	X	X	X	X									X
DNR	Denbury Resources Inc.	X	X	X	X	X	X										
DO	Diamond Offshore Drilling	X	X	X	X	X	X										
DOV	Dover Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DOW	Dow Chemical	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DPH	Delphi Corp.											X	X	X	X	X	X
DPS	Dr Pepper Snapple Group	X	X	X	X	X	X	X									
DRI	Darden Restaurants	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DTE	DTE Energy Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DTV	DirecTV	X	X	X	X	X	X	X	X	X							
DUK	Duke Energy	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
DV	DeVry, Inc.				X	X	X										
DVA	DaVita Inc.	X	X	X	X	X	X	X									
DVN	Devon Energy Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
DYN	Dynegy Inc.							X	X	X	X	X	X	X	X	X	
EA	Electronic Arts	X	X	X	X	X	X	X	X	X	X	X	X	X			
EBAY	eBay Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X			
EC	Engelhard Corp.										X	X	X	X	X	X	X
ECL	Ecolab Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ED	Consolidated Edison	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EDS	Electronics Data Systems								X	X	X	X	X	X	X	X	X
EFU	Eastern Enterprises																X
EFX	Equifax Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EIX	Edison Int'l	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EK	Eastman Kodak Co.						X	X	X	X	X	X	X	X	X	X	X
EL	Estee Lauder Cos.	X	X	X	X	X	X	X	X	X							
EMC	EMC Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EMN	Eastman Chemical	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EMR	Emerson Electric	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ENE	Enron Corp.															X	X
EOG	EOG Resources	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
EOP	Equity Office Properties									X	X	X	X	X	X		
EP	El Paso Corp.				X	X	X	X	X	X	X	X	X	X	X	X	X
EQ	Embarq Corp.							X	X	X							
EQR	Equity Residential	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
EQT	EQT Corporation	X	X	X	X	X	X	X									
ES	Eversource Energy	X	X	X	X	X	X										
ESRX	Express Scripts	X	X	X	X	X	X	X	X	X	X	X	X				
ESS	Essex Property Trust Inc	X															
ESV	Ensco plc	X	X	X				X	X								
ETFC	E*Trade Financial Corp.	X	X	X	X	X	X	X	X	X	X	X					
ETN	Eaton Corporation	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ETR	Entergy Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EW	Edwards Lifesciences	X	X	X	X												
EXC	Exelon Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
EXPD	Expeditors Int'l	X	X	X	X	X	X	X	X								
EXPE	Expedia Inc.	X	X	X	X	X	X	X	X								
F	Ford Motor	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FAST	Fastenal Co.	X	X	X	X	X	X	X									
FB	Facebook, Inc.	X	X														
FBF	FleetBoston Financial												X	X	X	X	X
FCX	Freeport-McMoRan Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FDC	First Data Corp.									X	X	X	X	X	X	X	X
FDO	Family Dollar Stores	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
FDX	FedEx Corporation	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FE	FirstEnergy Corp	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FFIV	F5 Networks	X	X	X	X	X											
FHN	First Horizon			X	X	X	X	X	X	X	X	X	X	X			
FII	Federated Investors				X	X	X	X	X	X	X	X	X				
FIS	Fidelity Nat. Info. Services	X	X	X	X	X	X	X	X	X							
FISV	Fiserv Inc	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
FITB	Fifth Third Bancorp	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
FJ	Fort James Corp.																X
FLE	Fleetwood Enterprises																X
FLIR	FLIR Systems	X	X	X	X	X	X	X									
FLR	Fluor Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
FLS	Flowserve Corporation	X	X	X	X	X	X	X									
FMC	FMC Corporation	X	X	X	X	X	X									X	X
FNM	Fannie Mae (FNMA)								X	X	X	X	X	X	X	X	X
FOSL	Fossil, Inc.	X	X	X													
FOXA	Twenty-First Century Fox	X	X	X	X	X	X	X	X	X	X	X					
FPC	Florida Progress																X
FRE	Freddie Mac (FHLMC)								X	X	X	X	X	X	X	X	X
FRX	Forest Laboratories		X	X	X	X	X	X	X	X	X	X	X	X	X	X	
FSH	Fisher Scientific										X	X					
FSL.B	Freescale Semiconductor										X	X					
FSLR	First Solar Inc	X	X	X	X	X	X										
FSR	Firstar Corporation															X	X
FTI	FMC Technologies Inc.	X	X	X	X	X	X										
FTR	Frontier Communications	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
FTU	First Union															X	X
FWC	Foster Wheeler																X
G	Gillette Co.											X	X	X	X	X	X
GAP	Great A&P																X
GAS	AGL Resources Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GCI	Gannett Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GD	General Dynamics	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GDT	Guidant Co.										X	X	X	X	X	X	X
GDW	Golden West Financial										X	X	X	X	X	X	X
GE	General Electric	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GENZ	Genzyme Corp.					X	X	X	X	X	X	X	X	X	X		
GGP	General Growth Properties	X	X						X								
GHC	Graham Holdings		X	X	X	X	X	X	X								
GIC	General Instrument																X
GILD	Gilead Sciences	X	X	X	X	X	X	X	X	X	X	X					
GIS	General Mills	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GLK	Great Lakes Chemical											X	X	X	X	X	X
GLW	Corning Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
GM	General Motors	X	X					X	X	X	X	X	X	X	X	X	X
GMCR	Keurig Green Mountain	X															
