Date,Open,High,Low,Close,Volume,Adj Close
2012-02-24,0.281,0.281,0.281,0.281,000,0.281
2012-02-23,0.281,0.281,0.281,0.281,000,0.281
2012-02-22,0.281,0.281,0.281,0.281,000,0.281
2012-02-21,0.281,0.281,0.281,0.281,000,0.281
2012-02-20,0.281,0.281,0.281,0.281,000,0.281
2012-02-17,0.281,0.281,0.281,0.281,000,0.281
2012-02-16,0.281,0.281,0.281,0.281,000,0.281
2012-02-15,0.281,0.281,0.281,0.281,000,0.281
2012-02-14,0.281,0.281,0.281,0.281,000,0.281
2012-02-13,0.281,0.281,0.281,0.281,000,0.281
2012-02-10,0.281,0.281,0.281,0.281,000,0.281
2012-02-09,0.281,0.281,0.281,0.281,000,0.281
2012-02-08,0.281,0.281,0.281,0.281,000,0.281
2012-02-07,0.281,0.281,0.281,0.281,000,0.281
2012-02-06,0.281,0.281,0.281,0.281,000,0.281
2012-02-03,0.281,0.281,0.281,0.281,000,0.281
2012-02-02,0.281,0.281,0.281,0.281,000,0.281
2012-02-01,0.281,0.281,0.281,0.281,000,0.281
2012-01-31,0.281,0.281,0.281,0.281,000,0.281
2012-01-30,0.281,0.281,0.281,0.281,000,0.281
2012-01-27,0.281,0.281,0.281,0.281,000,0.281
2012-01-26,0.281,0.281,0.281,0.281,000,0.281
2012-01-25,0.281,0.281,0.281,0.281,000,0.281
2012-01-24,0.281,0.281,0.281,0.281,000,0.281
2012-01-23,0.281,0.281,0.281,0.281,000,0.281
2012-01-20,0.281,0.281,0.281,0.281,000,0.281
2012-01-19,0.281,0.281,0.281,0.281,000,0.281
2012-01-18,0.281,0.281,0.281,0.281,000,0.281
2012-01-17,0.281,0.281,0.281,0.281,000,0.281
2012-01-16,0.281,0.281,0.281,0.281,000,0.281
2012-01-13,0.281,0.281,0.281,0.281,000,0.281
2012-01-12,0.281,0.281,0.281,0.281,000,0.281
2012-01-11,0.281,0.281,0.281,0.281,000,0.281
2012-01-10,0.281,0.281,0.281,0.281,000,0.281
2012-01-09,0.281,0.281,0.281,0.281,000,0.281
2012-01-06,0.281,0.281,0.281,0.281,000,0.281
2012-01-05,0.281,0.281,0.281,0.281,000,0.281
2012-01-04,0.281,0.281,0.281,0.281,000,0.281
2012-01-03,0.281,0.281,0.281,0.281,000,0.281
2012-01-02,0.281,0.281,0.281,0.281,000,0.281
2011-12-30,0.281,0.281,0.281,0.281,000,0.281
2011-12-29,0.281,0.281,0.281,0.281,000,0.281
2011-12-28,0.281,0.281,0.281,0.281,000,0.281
2011-12-27,0.281,0.281,0.281,0.281,000,0.281
2011-12-26,0.281,0.281,0.281,0.281,000,0.281
2011-12-23,0.281,0.281,0.281,0.281,000,0.281
2011-12-22,0.281,0.281,0.281,0.281,000,0.281
2011-12-21,0.281,0.281,0.281,0.281,000,0.281
2011-12-20,0.281,0.281,0.281,0.281,000,0.281
2011-12-19,0.281,0.281,0.281,0.281,000,0.281
2011-12-16,0.281,0.281,0.281,0.281,000,0.281
2011-12-15,0.281,0.281,0.281,0.281,000,0.281
2011-12-14,0.281,0.281,0.281,0.281,000,0.281
2011-12-13,0.281,0.281,0.281,0.281,000,0.281
2011-12-12,0.281,0.281,0.281,0.281,000,0.281
2011-12-09,0.281,0.281,0.281,0.281,000,0.281
2011-12-08,0.281,0.281,0.281,0.281,000,0.281
2011-12-07,0.281,0.281,0.281,0.281,000,0.281
2011-12-06,0.281,0.281,0.281,0.281,000,0.281
2011-12-05,0.281,0.281,0.281,0.281,000,0.281
2011-12-02,0.281,0.281,0.281,0.281,000,0.281
2011-12-01,0.281,0.281,0.281,0.281,000,0.281
2011-11-30,0.281,0.281,0.281,0.281,000,0.281
2011-11-29,0.281,0.281,0.281,0.281,000,0.281
2011-11-28,0.281,0.281,0.281,0.281,000,0.281
2011-11-25,0.281,0.281,0.281,0.281,000,0.281
2011-11-24,0.281,0.281,0.281,0.281,000,0.281
2011-11-23,0.281,0.281,0.281,0.281,000,0.281
2011-11-22,0.281,0.281,0.281,0.281,000,0.281
2011-11-21,0.281,0.281,0.281,0.281,000,0.281
2011-11-18,0.281,0.281,0.281,0.281,000,0.281
2011-11-17,0.281,0.281,0.281,0.281,000,0.281
2010-11-17,0.281,0.281,0.281,0.281,000,0.281
2010-09-20,0.307,0.307,0.307,0.307,000,0.307
2010-07-13,0.25,0.25,0.25,0.25,2500,0.25
2010-07-12,0.26,0.26,0.26,0.26,2400,0.26
2010-06-25,0.28,0.28,0.28,0.28,000,0.28
2010-06-24,0.289,0.289,0.289,0.289,000,0.289
2010-06-22,0.299,0.299,0.299,0.299,000,0.299
2010-06-18,0.27,0.27,0.27,0.27,000,0.27
2010-06-15,0.284,0.284,0.284,0.284,000,0.284
2010-06-14,0.23,0.23,0.23,0.23,000,0.23
2010-06-11,0.232,0.232,0.232,0.232,000,0.232
2010-06-10,0.237,0.237,0.237,0.237,000,0.237
2010-06-09,0.243,0.243,0.243,0.243,000,0.243
2010-06-07,0.266,0.266,0.266,0.266,000,0.266
2010-06-03,0.26,0.26,0.26,0.26,000,0.26
2010-06-02,0.28,0.28,0.28,0.28,000,0.28
2010-06-01,0.273,0.273,0.273,0.273,000,0.273
2010-05-27,0.218,0.218,0.218,0.218,000,0.218
2010-05-24,0.239,0.239,0.239,0.239,000,0.239
2010-05-19,0.268,0.268,0.268,0.268,000,0.268
2010-05-18,0.293,0.293,0.293,0.293,000,0.293
2010-05-17,0.289,0.289,0.289,0.289,000,0.289
2010-05-12,0.294,0.294,0.294,0.294,000,0.294
2010-05-10,0.30,0.30,0.30,0.30,000,0.30
2010-05-07,0.285,0.285,0.285,0.285,000,0.285
2010-05-04,0.323,0.323,0.323,0.323,000,0.323
2010-04-29,0.336,0.336,0.336,0.336,000,0.336
2010-04-27,0.337,0.337,0.337,0.337,000,0.337
2010-04-23,0.369,0.369,0.369,0.369,000,0.369
2010-04-20,0.39,0.39,0.39,0.39,000,0.39
2010-04-19,0.378,0.378,0.378,0.378,000,0.378
2010-04-16,0.348,0.348,0.348,0.348,000,0.348
2010-04-15,0.343,0.343,0.343,0.343,000,0.343
2010-04-13,0.383,0.383,0.383,0.383,000,0.383
2010-04-09,0.399,0.399,0.399,0.399,000,0.399
2010-04-08,0.396,0.396,0.396,0.396,000,0.396
2010-04-07,0.387,0.387,0.387,0.387,000,0.387
2010-03-31,0.34,0.34,0.34,0.34,000,0.34
2010-03-26,0.335,0.335,0.335,0.335,000,0.335
2010-03-25,0.342,0.342,0.342,0.342,000,0.342
2010-03-24,0.344,0.344,0.344,0.344,000,0.344
2010-03-22,0.337,0.337,0.337,0.337,000,0.337
2010-03-18,0.42,0.42,0.42,0.42,000,0.42
2010-03-16,0.42,0.42,0.42,0.42,300,0.42
2010-03-10,0.29,0.29,0.29,0.29,000,0.29
2010-03-09,0.272,0.272,0.272,0.272,000,0.272
2010-03-05,0.269,0.269,0.269,0.269,000,0.269
2010-03-04,0.322,0.322,0.322,0.322,000,0.322
2010-03-03,0.32,0.32,0.32,0.32,000,0.32
2010-02-26,0.339,0.339,0.339,0.339,000,0.339
2010-02-25,0.354,0.354,0.354,0.354,000,0.354
2010-02-24,0.353,0.353,0.353,0.353,000,0.353
2010-02-22,0.337,0.337,0.337,0.337,000,0.337
2010-02-17,0.336,0.336,0.336,0.336,000,0.336
2010-02-16,0.342,0.342,0.342,0.342,000,0.342
2010-02-12,0.308,0.308,0.308,0.308,000,0.308
2010-02-11,0.301,0.301,0.301,0.301,000,0.301
2010-02-10,0.298,0.298,0.298,0.298,000,0.298
2010-02-05,0.372,0.372,0.372,0.372,000,0.372
2010-02-04,0.362,0.362,0.362,0.362,000,0.362
2010-02-03,0.33,0.33,0.33,0.33,000,0.33
2010-02-02,0.374,0.374,0.374,0.374,000,0.374
2010-01-29,0.392,0.392,0.392,0.392,000,0.392
2010-01-28,0.413,0.413,0.413,0.413,000,0.413
2010-01-27,0.415,0.415,0.415,0.415,000,0.415
2010-01-21,0.441,0.441,0.441,0.441,000,0.441
2010-01-20,0.452,0.452,0.452,0.452,000,0.452
2010-01-18,0.458,0.458,0.458,0.458,000,0.458
2010-01-15,0.459,0.459,0.459,0.459,000,0.459
2010-01-11,0.48,0.48,0.48,0.48,000,0.48
2010-01-07,0.477,0.477,0.477,0.477,000,0.477
2010-01-06,0.468,0.468,0.468,0.468,000,0.468
2010-01-05,0.467,0.467,0.467,0.467,000,0.467
2010-01-04,0.467,0.467,0.467,0.467,000,0.467
2009-12-31,0.45,0.45,0.45,0.45,000,0.45
2009-12-29,0.44,0.44,0.44,0.44,000,0.44
2009-12-28,0.43,0.43,0.43,0.43,000,0.43
2009-12-24,0.44,0.44,0.44,0.44,000,0.44
2009-12-23,0.44,0.44,0.44,0.44,000,0.44
2009-12-22,0.44,0.44,0.44,0.44,000,0.44
2009-12-21,0.45,0.45,0.45,0.45,000,0.45
2009-12-15,0.48,0.48,0.48,0.48,000,0.48
2009-12-03,0.42,0.42,0.42,0.42,000,0.42
2009-12-01,0.40,0.40,0.40,0.40,000,0.40
2009-11-30,0.42,0.42,0.42,0.42,000,0.42
2009-11-26,0.43,0.43,0.43,0.43,000,0.43
2009-11-25,0.43,0.43,0.43,0.43,000,0.43
2009-11-24,0.43,0.43,0.43,0.43,000,0.43
2009-11-19,0.46,0.46,0.46,0.46,000,0.46
2009-11-18,0.47,0.47,0.47,0.47,000,0.47
2009-11-17,0.46,0.46,0.46,0.46,000,0.46
2008-10-17,0.169,0.169,0.169,0.169,33000,0.169
2008-09-19,0.30,0.30,0.30,0.30,1000,0.30
2008-03-19,0.088,0.088,0.088,0.088,5500,0.088
2008-03-18,0.113,0.113,0.113,0.113,500,0.113
2007-08-03,0.11,0.11,0.11,0.11,000,0.11
